Entity,Label,Count of NER
kerry,PERSON,96
paris,GPE,594
john f kerry,PERSON,18
monday,DATE,859
later week,DATE,26
american,NORP,2083
thursday,DATE,1088
evening,TIME,201
week,DATE,364
france,GPE,240
bulgaria,GPE,3
next day,DATE,42
washington,GPE,1652
french,NORP,382
united states,GPE,980
obama kerry,PERSON,1
march 40,DATE,1
roughly 40,CARDINAL,1
israeli,NORP,225
benjamin netanyahu,PERSON,66
march,DATE,40
jane hartley,PERSON,6
european,NORP,187
eric,PERSON,30
jr paris,PERSON,1
sunday,DATE,776
narendra modi,PERSON,3
eager india relax stringent laws,ORG,1
indian,NORP,36
india,GPE,55
new york,GPE,1013
hillary clinton,PERSON,1578
republican,NORP,4223
rtexas bernie sanders dvt,PERSON,1
ohio,GPE,533
john kasich,PERSON,274
years,DATE,499
white house,ORG,1496
clinton,PERSON,5680
eight,CARDINAL,143
50 percent,PERCENT,74
95,CARDINAL,17
gop,ORG,2548
one,CARDINAL,4082
10,CARDINAL,299
80 percent,PERCENT,45
november,DATE,394
trump clinton,PERSON,29
two,CARDINAL,2471
britains schindler,ORG,1
106,CARDINAL,1
czech,NORP,4
650,CARDINAL,3
jewish,NORP,94
nazi germany,GPE,3
age 106,DATE,1
nicholas winton,PERSON,1
prague germany,GPE,1
czechoslovakia,GPE,2
march 1939,DATE,1
britain,GPE,77
german,NORP,76
winton transport train germany,ORG,1
anniversary 1939,DATE,1
241,CARDINAL,2
elizabeth ii,PERSON,1
2003,DATE,81
nearly 50 years,DATE,1
nbc,ORG,126
iraq,GPE,923
china,GPE,236
saudi arabia,GPE,121
cuba,GPE,267
first,ORDINAL,2755
veterans health administration,ORG,1
libya,GPE,224
moammar gadhafi,PERSON,8
fine clinton,PERSON,2
republicans,NORP,3198
nbc news,ORG,55
afghanistan veterans america,GPE,2
new york city,GPE,114
today,DATE,753
matt lauer,PERSON,10
iraq war,EVENT,26
trumps,PERSON,2085
howard stern,PERSON,5
11 2002  six months,DATE,1
august 2004,DATE,7
17 months,DATE,2
october 2002,DATE,2
fox,ORG,84
two days,DATE,53
early july 2003,DATE,1
chris matthews money,PERSON,1
two months later,DATE,6
joe,PERSON,51
iraq clinton,PERSON,1
george w bush,PERSON,267
democrats,NORP,2234
bush,PERSON,1330
2011,DATE,129
dec 14 2008,DATE,1
iraqi,NORP,284
later december 31 2011,DATE,1
nouri almaliki,PERSON,6
january 2009 three years,DATE,1
october 2011,DATE,1
leon,PERSON,6
iran,GPE,1390
march 16 2007,DATE,1
cnn,ORG,1002
raul castro,PERSON,5
saudi,NORP,49
april,DATE,92
hangzhou,GPE,1
last saturday,DATE,5
20,CARDINAL,162
1984,DATE,22
ronald reagan,PERSON,120
