Entity,Label,Count of NER
new york,GPE,379
hillary rodham clinton,PERSON,11
fbi,ORG,1891
hour,TIME,15
cnn,ORG,295
james comey,PERSON,178
obama,GPE,193
democrats,NORP,601
clinton,PERSON,2723
hillary clinton,PERSON,2015
james comey role,PERSON,1
boston,GPE,46
james carville,PERSON,4
msnbc,ORG,48
comey coordinating house,ORG,1
republicans,NORP,481
kgb,ORG,14
harry reid,PERSON,28
tenth,CARDINAL,2
wikipedia article hatch act,ORG,1
one,CARDINAL,2901
putin paul,PERSON,1
americans,NORP,1159
60,CARDINAL,46
two,CARDINAL,1432
years,DATE,331
huma abedin,PERSON,111
paul,PERSON,44
google,ORG,61
today,DATE,903
paul ryan,PERSON,31
weeks ago,DATE,10
united states,GPE,851
figurehead republican party,ORG,1
afternoon,TIME,33
abc news,ORG,20
november 5 2016,DATE,24
zero,CARDINAL,175
2020,DATE,20
election day,DATE,244
months,DATE,108
house,ORG,30
2016 days,DATE,3
2016s,DATE,2
bernie,PERSON,65
november 9 2016,DATE,36
dem,NORP,6
dems,NORP,18
paul krugman,PERSON,7
hillary clintons,PERSON,234
jill stein,PERSON,17
stein ralph,PERSON,1
2016,DATE,436
republican,NORP,758
2016,CARDINAL,148
gop,ORG,238
98,CARDINAL,9
trumps,PERSON,586
almost 15000,CARDINAL,3
july,DATE,66
51 57 percent,PERCENT,1
11 pm,TIME,2
florida,GPE,343
pennsylvania,GPE,111
197,CARDINAL,1
187,CARDINAL,1
richmond,GPE,5
virginia,GPE,84
tehran usa,ORG,1
50 years ago,DATE,8
new york city,GPE,46
iran,GPE,390
playing little league raritan,ORG,3
raritan,ORG,3
1985,DATE,14
eight,CARDINAL,85
iranians,NORP,31
1996 age 19,DATE,3
america,GPE,799
us navy,ORG,20
christians,NORP,160
muslim,NORP,323
20 years later,DATE,3
eight year old,DATE,3
first,ORDINAL,1842
iranian,NORP,96
american,NORP,1993
ayatollah gandhi,PERSON,1
third,ORDINAL,310
navy,ORG,15
jockey sandnigger,PERSON,1
gandhi,PERSON,4
cub,ORG,7
muslimamerican,NORP,3
early years,DATE,8
scary day,DATE,3
september 11 2001 1998,DATE,3
1999,DATE,44
august 2000,DATE,3
naval reserve,ORG,2
911,CARDINAL,178
muslims,NORP,281
2006,DATE,66
islam,NORP,46
us,GPE,443
middle east,LOC,256
february 10 2015,DATE,2
three,CARDINAL,491
razan abusalha,PERSON,2
north carolina,GPE,109
many years earlier,DATE,2
islamophobia,ORG,2
michael mcphearson,PERSON,2
arizona,GPE,91
georgia,GPE,75
texas,GPE,197
american muslim communities,ORG,2
orlando,GPE,32
american muslim community,ORG,2
donald trump,PERSON,839
baylee luciani,PERSON,2
screenshot baylee,PERSON,1
austin,PERSON,7
200mile,CARDINAL,1
evening,TIME,80
yale,ORG,4
austin community college,ORG,1
kron baylee,PERSON,1
seconds,TIME,38
dallas,GPE,27
thousands dollars,MONEY,4
oct262016,ORG,1
2012,DATE,156
wwwgalacticconnectioncom,ORG,10
10,CARDINAL,209
3 october 31,DATE,2
452,CARDINAL,2
vietnam,EVENT,46
4,CARDINAL,268
yahoos,PERSON,1
alex jones,PERSON,17
decade ago,DATE,8
white house,ORG,662
rick ross,PERSON,3
michelle hillary,PERSON,1
alex jones infowars,PERSON,24
0,CARDINAL,300
2nd,ORDINAL,6
2000s,DATE,1
hillary,PERSON,242
160,CARDINAL,7
sunday,DATE,141
november 13 2016,DATE,6
patrick henningsen,PERSON,4
3 hours,TIME,5
12pm3pm,CARDINAL,2
weeks,DATE,60
sun week,DATE,2
first hour,TIME,2
soros democratic party,ORG,1
west coast,LOC,3
21wire,CARDINAL,6
21wiretv,CARDINAL,2
november 1 2016,DATE,51
tom,PERSON,7
robert langdon,PERSON,1
dan browns,PERSON,2
langdon,PERSON,1
malthusian,NORP,4
thomas malthus,PERSON,1
17661834,DATE,1
100 square meter,QUANTITY,1
20,CARDINAL,183
swedish,NORP,29
jonathan newman,PERSON,2
2013 2014 summer,DATE,1
syrian,NORP,446
october 31 2016,DATE,53
four,CARDINAL,282
asia,LOC,96
october 31,DATE,31
jaish alfatah,PERSON,10
last weekend,DATE,13
alassad,ORG,2
moscow,GPE,217
last year,DATE,152
idlib province,GPE,2
kurdish ypg,PERSON,1
kurdish,NORP,74
russian syrian,NORP,13
harakat nour,PERSON,2
aldin alzenki,PERSON,1
dozens,CARDINAL,78
almahjoorah battalion,PERSON,1
40,CARDINAL,72
26,CARDINAL,48
727,CARDINAL,1
jeffrey sewell,PERSON,3
al metabiology face face,ORG,1
20 2016,TIME,1
many years,DATE,19
egyptian,NORP,34
kabbalah gnostic kashmir,ORG,1
jungian,NORP,1
randy maugans,PERSON,1
510 minutes,TIME,1
another 10 minutes,TIME,1
6,CARDINAL,137
brexit,PERSON,11
russia,GPE,1904
britain,GPE,193
eu brexit,PERSON,1
31,CARDINAL,25
13,CARDINAL,68
kingdom facilitate trade relations noneu states,ORG,1
european union,ORG,41
roger munnings,PERSON,1
wednesday least two years,DATE,1
british,NORP,339
june 23,DATE,3
united kingdom,GPE,28
october 2,DATE,4
march 2017,DATE,6
eu,PERSON,19
number eu,PERSON,1
early october,DATE,12
exit european union,ORG,1
control immigration,ORG,1
european,NORP,275
october 27,DATE,47
carl,PERSON,10
east west,GPE,2
germania,GPE,1
100,CARDINAL,199
bob marley,PERSON,1
carl carl,PERSON,1
6 months ago,DATE,2
election season,DATE,45
01,CARDINAL,11
almost 50 years,DATE,2
last 27 years,DATE,1
martin king,PERSON,1
kennedy,PERSON,7
wouldbe,DATE,2
daily,DATE,372
another day,DATE,5
friday,DATE,231
thursday,DATE,205
election day 2016,DATE,10
year,DATE,186
democratic,NORP,244
tuesday,DATE,191
congress,ORG,596
us house,ORG,3
hawaii,GPE,7
japanborn mazie,PERSON,1
hirono first,PERSON,1
senate,ORG,227
democrat,NORP,262
hindu us house,ORG,1
fox news,ORG,105
age 21,DATE,2
12 month,DATE,2
school alabama military academy,ORG,1
baghdad,GPE,22
2004,DATE,45
kuwait,GPE,15
2008,DATE,151
2007,DATE,80
american family association called prayer gross idolatry,ORG,1
january,DATE,23
sanatana dharma,PERSON,1
india,GPE,246
keith ellison,PERSON,1
ariana marisol,PERSON,1
hiker dreamer lover,PERSON,5
donald,PERSON,3
hillary 2005,PERSON,1
anthony,PERSON,80
friday 4 november 2016,DATE,3
washington,GPE,850
bill clinton,PERSON,266
melania trump,FAC,1
2005,DATE,38
comey comey,PERSON,2
laurel brow,PERSON,1
nine,CARDINAL,51
clintons,PERSON,50
october,DATE,191
james kallstrom,PERSON,11
late 90s,DATE,2
loretta lynch,PERSON,79
kallstrom,PERSON,6
10271,CARDINAL,1
eight years,DATE,36
balkan,NORP,2
seven,CARDINAL,89
paraguay,ORG,4
brazil,GPE,97
haiti,GPE,16
wall street journal,ORG,58
november,DATE,109
china,GPE,523
cia,ORG,194
michael morell,PERSON,1
hillary administration,PERSON,1
yemen,GPE,166
jake sullivan,PERSON,4
sunni,NORP,29
last years,DATE,19
stephen lendman,PERSON,6
chicago,GPE,151
52,CARDINAL,27
90,CARDINAL,33
chris menahan,PERSON,2
october 28 2016,DATE,124
donald trumps,PERSON,177
20 million,CARDINAL,23
day day,DATE,10
pictwittercomnrmqnbw5uk  peterduke,PERSON,1
millions,CARDINAL,302
220,CARDINAL,4
dan zukowski three,PERSON,1
last month,DATE,56
3032,DATE,1
47 billion 1,MONEY,1
oct 24,DATE,6
oklahoma,GPE,22
second,ORDINAL,520
21 55000 gallons,QUANTITY,1
seven inches,QUANTITY,1
3,CARDINAL,353
leaked estimated 336000 gallons,QUANTITY,1
fifth state year,DATE,1
43year,CARDINAL,1
268 percent,PERCENT,1
2006 2015,DATE,4
50000,CARDINAL,20
five,CARDINAL,184
50,CARDINAL,133
2015,DATE,201
326,CARDINAL,1
55 percent,PERCENT,6
135000 miles,QUANTITY,1
45 years old,DATE,1
reuters,ORG,33
466,CARDINAL,1
22 percent,PERCENT,3
105,CARDINAL,1
99,CARDINAL,37
earlier year,DATE,87
carl weimer,PERSON,1
parenzan dan zukowski  environmental,PERSON,1
germans,NORP,28
iraqi,NORP,203
10yearold,CARDINAL,12
